number,pdbid,-logKd/Ki,ligand_name
1, 1w6o ,3.34, LAT
2, 2arb ,4.41, NAG-MAN
3, 2are ,3.28, MAN
78, 2b3f ,6.03, GAL
79, 2bbf ,5.1, 344
86, 2idz ,9.4, ZID
87, 2ihk ,4.16, CSF
88, 2ilz ,5.4, GTP
91, 2jff ,3.62, LK2
93, 2otz ,3.63, 1MR
94, 2ou0 ,3.23, MR3
96, 2pjo ,0.05, NMU
97, 2pzv ,3.87, IPH
98, 2q3c ,5.3, DFSI
102, 2qeh ,8.62, SRO
103, 2qvu ,6.44, FDP
104, 2r3d ,-0.15, ACM
106, 2rde ,7.01, C2E
111, 2v8y ,5.71, MGV
113, 2jgb ,5.61, MGT
123, 1ukb ,3.19, BEZ
126, 2cjp ,3.1, VPR
129, 2add ,2.46, SUC
141, 2p3t ,11.3, 993
149, 2q6m ,6.29, P34
173, 2rca ,7.79, GLY
182, 2v7t ,7.48, SAH
183, 2v7u ,5.9, SAM
184, 2v7v ,6.66, 5FD
187, 2vhw ,5.09, NAI
197, 2z8f ,4.96, GAL-NAG-GAL-BGC
198, 2zlz ,2.68, GLU
215, 3c7i ,5.64, TVN
234, 3ene ,6.24, NPZ
239, 3f4j ,3.49, GLY
